"Game #","Date","Time","Type","Status","Home","Score","Away","Score","Venue","Rink"
"149151767","2025-09-14","16:15:00","Game","Final","Jr. Kings","1","Saints","2","Paramount Ice Land","NHL"
"149151702","2025-09-21","08:45:00","Game","Final","OC Hockey (2)","3","Jr. Kings","4","KHS Ice Arena","A"
"149151705","2025-09-28","10:00:00","Game","Final","Ice Hawks","5","Jr. Kings","3","Ice in Paradise","NHL"
"149151707","2025-10-05","08:40:00","Game","Final","Mavericks","1","Jr. Kings","8","Carlsbad Ice Center","Main"
"149151783","2025-10-12","18:00:00","Game","Final","Jr. Kings","4","Wave","1","Paramount Ice Land","NHL"
"149151776","2025-10-19","16:15:00","Game","Final","Jr. Kings","7","Surf","1","Paramount Ice Land","NHL"
"149151708","2025-10-26","12:45:00","Game","Final","Jr. Ducks (2)","0","Jr. Kings","4","Anaheim ICE","NHL"
"149151704","2025-11-09","07:00:00","Game","Final","Avalanche","4","Jr. Kings","2","Lake Forest IP","1"
"149151817","2025-11-23","18:00:00","Game","Final","Jr. Kings","8","Jr. Reign","1","Paramount Ice Land","NHL"
"149151791","2025-12-07","10:30:00","Game","Scheduled","Jr. Kings","--","Heat","--","Paramount Ice Land","NHL"
"149151734","2025-12-21","07:00:00","Game","Scheduled","Jr. Kings","--","Jr. Ducks (3)","--","Toyota Sport Center","NHL"
"149151750","2026-01-11","14:30:00","Game","Scheduled","Jr. Kings","--","OC Hockey (1)","--","Paramount Ice Land","NHL"
"149151742","2026-01-25","15:30:00","Game","Scheduled","Jr. Kings","--","SDIA","--","Toyota Sport Center","OLY"
"149151800","2026-02-01","18:00:00","Game","Scheduled","Jr. Kings","--","Empire HC","--","Paramount Ice Land","NHL"
"149151709","2026-02-08","08:45:00","Game","Scheduled","Jr. Ducks (1)","--","Jr. Kings","--","Anaheim ICE","NHL"
"149151703","2026-02-22","10:10:00","Game","Scheduled","Jr. Gulls","--","Jr. Kings","--","Poway Ice Arena","Main"
"149151706","2026-03-01","14:40:00","Game","Scheduled","Red Wings","--","Jr. Kings","--","Skating Edge Harbor City","main"
