"Game #","Date","Time","Type","Status","Home","Score","Away","Score","Venue","Rink"
"149151815","2025-09-07","07:00:00","Game","Final","Empire HC","7","Jr. Reign","0","Ontario Center Ice","Main"
"149151846","2025-09-07","10:20:00","Game","Final","OC Hockey (2)","4","Ice Hawks","6","YorbaLinda ICE","YLICE"
"149151771","2025-09-07","10:30:00","Game","Final","Heat","8","Surf","3","Valley Center Ice","Glacier"
"149151735","2025-09-07","10:30:00","Game","Final","OC Hockey (1)","7","SDIA","1","KHS Ice Arena","A"
"149151727","2025-09-07","12:45:00","Game","Final","Jr. Gulls","6","Jr. Ducks (3)","0","Lakewood ICE","Main"
"149151784","2025-09-07","14:15:00","Game","Final","Saints","11","Wave","1","Kroc Center","NHL"
"149151710","2025-09-07","18:30:00","Game","Final","Avalanche","5","Jr. Ducks (1)","2","Aliso Viejo Ice","1"
"149151736","2025-09-13","09:50:00","Game","Final","Jr. Gulls","2","SDIA","3","Poway Ice Arena","Main"
"149151796","2025-09-14","08:40:00","Game","Final","Red Wings","0","Empire HC","7","Skating Edge Harbor City","main"
"149151754","2025-09-14","08:40:00","Game","Final","Surf","2","OC Hockey (2)","3","Ice Realm","MAIN"
"149151816","2025-09-14","09:00:00","Game","Final","Jr. Ducks (3)","9","Jr. Reign","1","Lakewood ICE","A"
"149151850","2025-09-14","10:30:00","Game","Final","Heat","2","Ice Hawks","3","Valley Center Ice","Glacier"
"149151808","2025-09-14","10:45:00","Game","Final","Jr. Ducks (2)","3","Avalanche","5","Lakewood ICE","A"
"149151825","2025-09-14","13:40:00","Game","Final","Wave","10","Mavericks","2","East West Ice","NHL"
"149151767","2025-09-14","16:15:00","Game","Final","Jr. Kings","1","Saints","2","Paramount Ice Land","NHL"
"149151836","2025-09-21","07:40:00","Game","Final","Saints","6","Jr. Gulls","0","UTC La Jolla","NHL"
"149151779","2025-09-21","08:40:00","Game","Final","Surf","5","Wave","2","Ice Realm","MAIN"
"149151702","2025-09-21","08:45:00","Game","Final","OC Hockey (2)","3","Jr. Kings","4","KHS Ice Arena","A"
