canonical_name,address,place_id,league,aliases
Aliso Viejo Ice,"9 Journey, Aliso Viejo, CA 92656",ChIJ_placeholder_alisoviejo,SCAHA,
Anaheim ICE,"300 W Lincoln Ave, Anaheim, CA 92805",ChIJ_placeholder_anaheim,SCAHA,The Rinks Anaheim ICE|Glacier
Bakersfield Ice Sports,"1325 Q St #100, Bakersfield, CA 93301",ChIJ_placeholder_bakersfield,SCAHA,
Berger Foundation Iceplex,"75702 Varner Rd, Palm Desert, CA 92211",ChIJ_placeholder_berger,SCAHA,
Carlsbad Ice Center,"2283 Cosmos Ct, Carlsbad, CA 92011",ChIJ_placeholder_carlsbad,SCAHA,
East West Ice,"11446 Artesia Blvd, Artesia, CA 90701",ChIJ_placeholder_eastwest,SCAHA,
Great Park Ice & Fivepoint Arena,"888 Ridge Valley, Irvine, CA 92618",ChIJ_placeholder_greatpark,SCAHA,Great Park Ice
Ice Realm,"13071 Springdale St, Westminster, CA 92683",ChIJ_placeholder_icerealm,SCAHA,
Ice in Paradise,"6985 Santa Felicia Dr, Goleta, CA 93117",ChIJ_placeholder_paradise,SCAHA,
Iceoplex Simi Valley,"131 W Easy St, Simi Valley, CA 93065",ChIJ_placeholder_iceoplex,SCAHA,
Icetown Riverside,"10540 Magnolia Ave, Riverside, CA 92505",ChIJ_placeholder_icetown,SCAHA,
KHS Ice Arena,"1000 E Cerritos Ave, Anaheim, CA 92805",ChIJ_placeholder_khs,SCAHA,
Lake Forest Ice Palace,"25821 Atlantic Ocean Dr, Lake Forest, CA 92630",ChIJ_placeholder_lakeforest_scaha,SCAHA,Lake Forest IP
Lakewood ICE,"3975 Pixie Ave, Lakewood, CA 90712",ChIJ_placeholder_lakewood_scaha,SCAHA,Glacial Gardens
Ontario Center Ice,"201 S Plum Ave, Ontario, CA 91761",ChIJ_placeholder_ontario,SCAHA,
Paramount Ice Land,"8041 Jackson St, Paramount, CA 90723",ChIJ_placeholder_paramount,SCAHA,
Pasadena Skating,"300 E Green St, Pasadena, CA 91101",ChIJ_placeholder_pasadena,SCAHA,
Pickwick Ice,"1001 Riverside Dr, Burbank, CA 91506",ChIJ_placeholder_pickwick,SCAHA,
Poway Ice Arena,"12455 Kerran St #100, Poway, CA 92064",ChIJ_placeholder_poway,SCAHA,
SD Ice Arena,"11048 Ice Skate Pl, San Diego, CA 92126",ChIJ_placeholder_sdice,SCAHA,
Valley Center Ice,"8750 Van Nuys Blvd, Panorama City, CA 91402",ChIJ_placeholder_valleycenter,SCAHA,LA Kings Valley Ice Center
Yorba Linda ICE,"23641 La Palma Ave, Yorba Linda, CA 92887",ChIJ_placeholder_yorbalinda,SCAHA,YLICE|YorbaLinda ICE
